start_time throughput latency pdr
0 7.3061499836532 0.0673949978196914 0.40930633347695
10 8.26623287169264 0.0667054025724711 0.0574932924492143
20 8.16543201377929 0.0675345647230309 0.0779727095516569
30 8.05256108062881 0.066677475646953 0.0589390962671906
40 8.19482176030347 0.0664559274772144 0.0580776304326783
50 8.25098557217317 0.0665571126923046 0.0575981568589805
60 8.26651049838551 0.0671360733275713 0.0670819357930043
70 5.36532532642561 0.0678657498159318 0.28169014084507
80 2.8992919921875 0.0697736076817566 0.54421768707483
90 3.08257810034377 0.0688380501930511 0.435562387906738
100 2.93575813513389 0.0691251220961652 0.538647993536224
110 3.00875055049296 0.06923899447223 0.499080640924613
120 2.91514480800157 0.0685587686017987 0.433017591339648
130 4.7114762371237 0.0661759130875877 0.1669727834363
140 8.09325119752345 0.0674408673399311 0.0884955752212389
150 8.10819226570219 0.0665668030332643 0.058610921168311
160 8.20335290461816 0.0666264619402233 0.0579374275782155
170 8.26532039432145 0.066772713737156 0.057509824595035
180 8.21652008825141 0.0673494800308665 0.0773918931991874
